Nutrient group,Variable,Value,Commodity
"Calcium (mg/1,000 calories) - Total population",Total - 2015–16,473.06,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",Total - 2015–16,532.87,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",Total - 2015–16,453.23,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Total - 2015–16,457.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2015–16,472.82,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2015–16,487.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2015–16,467.18,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Total - 2015–16,139.45,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Total - 2015–16,121.94,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Total - 2015–16,145.02,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Total - 2015–16,144.87,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2015–16,138.27,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2015–16,149.77,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2015–16,136.11,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Total - 2015–16,8.33,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
